PlateName	Well	Content	compoundID_384	compoundID	mol.weight.Structure	Name	SecName	Class	Enzyme	Action	Selectivity	Description	GeneID	Selectivity_updated
P1	A03	sample	78875	78875	195,22001	DL-alpha-Methyl-p-tyrosine	4-Hydroxy-alpha-methylphenylalanine	Neurotransmission	Enzyme	Inhibitor	Tyrosine hydroxylase	Inhibitor of catecholamine synthesis and tyrosine hydroxylase	78875	Tyrosine hydroxylase
P1	A04	sample	78955	78955	163,19638	N-Acetyl-L-Cysteine		Glutamate		Antagonist		Amino acid analog that partially improves neuronal survival following transient forebrain ischemia	78955	AA-analog
P1	A05	sample	78876	78876	202,25818	6-Methoxy-1,2,3,4-tetrahydro-9H-pyrido[3,4b] indole		Neurotransmission	Enzyme	Inhibitor	MAO	MAO inhibitor	78876	MAO
P1	A06	sample	78956	78956	131,17601	6-Aminohexanoic acid	6-Aminocaproic acid; EACA	Immune System		Inhibitor	Blood Clotting	Promotes rapid dissociation of plasmin, thereby inhibiting the activation of plasminogen and subsequent fibrinolysis; inhibits plasminogen binding to activated platelets	78956	Blood Clotting
P1	A07	sample	78877	78877	59,06825	Acetamide	Amide C2	Biochemistry	Enzyme	Inhibitor	Carbonic anhydrase	Carbonic anhydrase inhibitor	78877	Carbonic anhydrase
P1	A08	sample	78957	78957	210,28401	Altretamine	N,N,N',N',N'',N''-Hexamethyl-1,3,5-triazine-2,4,6-triamine	DNA Metabolism		Inhibitor		Antineoplastic	78957	DNA_metabol
P1	A09	sample	78878	78878	187,71466	Amantadine hydrochloride	Tricyclo[3.3.1.1 3,7]decan-1-amine hydrochloride	Dopamine		Releaser		Dopamine releaser used in the treatment of Parkinsonism and drug-related extrapyramidal reactions; antiviral (Influenza A)	78878	dopamine
P1	A10	sample	78958	78958	329,21084	Adenosine 3',5'-cyclic monophosphate	cAMP; 3',5'-Cyclic AMP	Phosphorylation	Enzyme	Activator	PKA	PKA activator; second messenger	78958	PKA
P1	A11	sample	78879	78879	103,12183	GABA	gamma-Aminobutyric acid	GABA		Agonist		Endogenous neurotransmitter	78879	neurotransmitter
P1	A12	sample	78959	78959	166,67382	(+-)-AMT hydrochloride	(+-)-2-Amino-5,6-dihydro-6-methyl-4H-1,3-thiazine hydrochloride	Nitric Oxide	Enzyme	Inhibitor	iNOS	Potent, selective and reversible inducible nitric oxide synthase inhibitor	78959	iNOS
