AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
5.0,3.0,0.0,0.0,1.0,2.0,6.0,9.0,5.0,1.0,0.0,6.0,0.0,6.0,8.0,0.0,0.0
11.0,6.0,99.0,15.0,15.0,5.0,9.0,11.0,5.0,22.0,28.0,3.0,4.0,4.0,8.0,12.0,0.0
0.0,0.0,3.0,26.0,0.0,3.0,1.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0
0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0
4.0,1.0,0.0,0.0,1.0,8.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,1.0,0.0
128.0,99.0,6.0,1.0,42.0,115.0,155.0,71.0,130.0,33.0,36.0,90.0,49.0,73.0,162.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
86.0,82.0,0.0,2.0,28.0,91.0,142.0,25.0,165.0,27.0,31.0,112.0,31.0,51.0,103.0,0.0,0.0
12.0,13.0,49.0,3.0,50.0,13.0,8.0,23.0,9.0,180.0,31.0,17.0,1.0,12.0,14.0,35.0,2.0
4.0,4.0,44.0,21.0,3.0,8.0,6.0,13.0,6.0,20.0,132.0,5.0,3.0,3.0,4.0,9.0,0.0
1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0
128.0,153.0,11.0,1.0,58.0,136.0,172.0,81.0,169.0,46.0,57.0,143.0,36.0,84.0,204.0,0.0,0.0
1.0,1.0,5.0,0.0,8.0,0.0,3.0,1.0,0.0,9.0,1.0,2.0,0.0,3.0,2.0,54.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,3.0,88.0
