AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
19.0,20.0,1.0,0.0,12.0,19.0,39.0,8.0,35.0,7.0,5.0,22.0,9.0,21.0,24.0,0.0,0.0
18.0,29.0,3.0,2.0,9.0,26.0,28.0,14.0,26.0,4.0,11.0,28.0,4.0,9.0,37.0,0.0,0.0
3.0,6.0,132.0,10.0,5.0,8.0,10.0,13.0,4.0,24.0,22.0,4.0,1.0,4.0,5.0,12.0,0.0
0.0,0.0,1.0,40.0,0.0,2.0,1.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0
0.0,0.0,0.0,0.0,107.0,1.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
24.0,31.0,0.0,0.0,11.0,43.0,39.0,10.0,21.0,12.0,11.0,30.0,11.0,15.0,39.0,1.0,0.0
89.0,67.0,1.0,2.0,33.0,82.0,137.0,43.0,114.0,38.0,26.0,88.0,37.0,63.0,110.0,0.0,0.0
16.0,30.0,8.0,1.0,5.0,22.0,15.0,88.0,16.0,3.0,7.0,19.0,8.0,9.0,33.0,0.0,0.0
80.0,68.0,1.0,1.0,30.0,81.0,117.0,24.0,158.0,15.0,39.0,79.0,27.0,48.0,87.0,0.0,0.0
10.0,4.0,16.0,1.0,38.0,7.0,5.0,6.0,4.0,179.0,20.0,7.0,1.0,5.0,10.0,17.0,0.0
1.0,3.0,44.0,9.0,2.0,2.0,2.0,8.0,3.0,16.0,142.0,4.0,2.0,3.0,3.0,5.0,0.0
30.0,18.0,0.0,0.0,7.0,13.0,22.0,6.0,23.0,4.0,7.0,23.0,6.0,13.0,22.0,0.0,0.0
1.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
88.0,86.0,6.0,1.0,25.0,74.0,87.0,32.0,86.0,27.0,24.0,80.0,22.0,51.0,137.0,0.0,0.0
3.0,1.0,4.0,2.0,7.0,0.0,3.0,0.0,1.0,11.0,3.0,0.0,0.0,2.0,5.0,81.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,88.0
