AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
37.0,22.0,0.0,0.0,4.0,36.0,35.0,12.0,25.0,4.0,10.0,22.0,8.0,15.0,38.0,0.0,0.0
19.0,35.0,2.0,0.0,12.0,22.0,33.0,12.0,39.0,12.0,4.0,19.0,6.0,17.0,31.0,0.0,0.0
11.0,7.0,121.0,10.0,6.0,9.0,10.0,13.0,4.0,22.0,27.0,3.0,2.0,3.0,10.0,14.0,0.0
0.0,0.0,4.0,42.0,0.0,1.0,0.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,4.0,1.0,113.0,0.0,2.0,1.0,1.0,15.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0
27.0,27.0,1.0,1.0,10.0,30.0,40.0,12.0,28.0,13.0,10.0,38.0,11.0,29.0,36.0,0.0,0.0
86.0,65.0,3.0,1.0,28.0,100.0,119.0,23.0,107.0,24.0,27.0,68.0,28.0,51.0,98.0,0.0,0.0
15.0,35.0,6.0,0.0,6.0,17.0,20.0,118.0,17.0,4.0,8.0,25.0,7.0,15.0,28.0,0.0,0.0
76.0,62.0,3.0,0.0,36.0,55.0,114.0,13.0,160.0,15.0,33.0,85.0,28.0,43.0,89.0,0.0,0.0
5.0,3.0,22.0,2.0,36.0,9.0,4.0,8.0,1.0,177.0,19.0,5.0,2.0,5.0,9.0,10.0,0.0
0.0,3.0,40.0,9.0,1.0,1.0,2.0,3.0,2.0,16.0,135.0,4.0,3.0,2.0,2.0,9.0,5.0
23.0,22.0,1.0,1.0,6.0,27.0,29.0,11.0,19.0,9.0,5.0,31.0,5.0,15.0,22.0,0.0,0.0
4.0,3.0,0.0,0.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,4.0,0.0,4.0,4.0,0.0,0.0
76.0,80.0,3.0,0.0,27.0,72.0,93.0,23.0,86.0,29.0,31.0,81.0,26.0,42.0,141.0,0.0,0.0
3.0,1.0,7.0,2.0,4.0,1.0,4.0,1.0,2.0,11.0,7.0,0.0,2.0,2.0,3.0,88.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,84.0
