AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
29.0,24.0,17.0,3.0,17.0,25.0,34.0,20.0,43.0,20.0,16.0,31.0,7.0,14.0,30.0,7.0,1.0
21.0,24.0,8.0,1.0,14.0,22.0,25.0,13.0,25.0,14.0,12.0,23.0,5.0,7.0,25.0,5.0,2.0
2.0,2.0,17.0,6.0,6.0,2.0,2.0,0.0,6.0,8.0,9.0,4.0,0.0,1.0,3.0,1.0,4.0
0.0,0.0,6.0,20.0,0.0,3.0,1.0,0.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,5.0
7.0,7.0,7.0,1.0,16.0,5.0,8.0,6.0,9.0,20.0,7.0,3.0,3.0,1.0,10.0,5.0,4.0
32.0,26.0,12.0,0.0,17.0,24.0,31.0,11.0,33.0,19.0,13.0,15.0,7.0,13.0,44.0,7.0,3.0
83.0,82.0,28.0,6.0,56.0,98.0,132.0,56.0,112.0,45.0,65.0,111.0,43.0,63.0,126.0,23.0,4.0
5.0,7.0,1.0,0.0,3.0,1.0,5.0,1.0,0.0,3.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0
75.0,69.0,26.0,4.0,49.0,76.0,118.0,56.0,110.0,55.0,56.0,72.0,29.0,62.0,102.0,20.0,4.0
20.0,25.0,27.0,5.0,47.0,19.0,21.0,19.0,19.0,90.0,21.0,21.0,5.0,17.0,23.0,17.0,4.0
6.0,10.0,32.0,12.0,18.0,9.0,9.0,5.0,7.0,20.0,62.0,7.0,1.0,5.0,10.0,13.0,15.0
20.0,17.0,6.0,2.0,11.0,18.0,21.0,21.0,29.0,7.0,10.0,19.0,4.0,9.0,17.0,3.0,4.0
0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0
79.0,70.0,25.0,0.0,34.0,78.0,97.0,42.0,97.0,49.0,40.0,72.0,22.0,47.0,114.0,19.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,4.0,9.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,4.0,2.0,5.0,33.0
