AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
40.0,25.0,2.0,1.0,10.0,27.0,41.0,18.0,54.0,12.0,12.0,41.0,8.0,24.0,45.0,0.0,0.0
28.0,34.0,5.0,0.0,10.0,31.0,25.0,9.0,38.0,12.0,9.0,17.0,5.0,17.0,35.0,0.0,0.0
3.0,2.0,116.0,13.0,13.0,6.0,7.0,8.0,5.0,30.0,42.0,2.0,3.0,5.0,2.0,13.0,0.0
0.0,0.0,2.0,32.0,0.0,1.0,1.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,4.0,3.0,91.0,0.0,2.0,0.0,1.0,18.0,5.0,3.0,1.0,0.0,0.0,15.0,0.0
36.0,23.0,3.0,1.0,13.0,37.0,40.0,20.0,25.0,12.0,8.0,43.0,8.0,22.0,44.0,1.0,0.0
87.0,72.0,8.0,2.0,37.0,85.0,154.0,41.0,114.0,27.0,28.0,85.0,29.0,62.0,119.0,2.0,0.0
12.0,24.0,10.0,0.0,6.0,14.0,14.0,67.0,9.0,8.0,6.0,14.0,5.0,7.0,12.0,0.0,1.0
71.0,63.0,3.0,0.0,30.0,79.0,98.0,29.0,133.0,26.0,31.0,79.0,29.0,44.0,89.0,1.0,0.0
8.0,7.0,14.0,1.0,30.0,8.0,6.0,3.0,4.0,150.0,12.0,5.0,0.0,2.0,5.0,5.0,0.0
0.0,3.0,30.0,9.0,1.0,1.0,2.0,3.0,1.0,11.0,105.0,0.0,2.0,4.0,1.0,7.0,4.0
20.0,25.0,1.0,0.0,6.0,25.0,27.0,16.0,25.0,6.0,9.0,26.0,11.0,14.0,28.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,11.0,0.0,0.0,1.0,4.0,9.0,3.0,7.0,2.0,3.0,4.0,4.0,8.0,6.0,0.0,0.0
67.0,72.0,3.0,0.0,22.0,64.0,78.0,33.0,77.0,17.0,29.0,65.0,20.0,29.0,121.0,1.0,0.0
3.0,2.0,11.0,2.0,19.0,0.0,3.0,0.0,0.0,20.0,7.0,1.0,3.0,4.0,5.0,77.0,1.0
0.0,1.0,5.0,5.0,3.0,1.0,0.0,2.0,0.0,3.0,11.0,0.0,0.0,1.0,1.0,3.0,83.0
