cell_code,truth
Hmv43N53kD,adrenoceptor
B8kmJi71Zt,adrenoceptor
lcvffs6oty,adrenoceptor
jVHzZ1tdUT,adrenoceptor
Bcx0AaJQ49,adrenoceptor
Vs9DxpkBAN,adrenoceptor
3VDv2skQ9p,adrenoceptor
K7OLvCFBMO,adrenoceptor
kDf6xE1INb,adrenoceptor
cbxKBBKvrw,adrenoceptor
CVM47xSkf6,adrenoceptor
KOzxXT1TzN,adrenoceptor
MYL0mMQ9G9,adrenoceptor
HCRpgbAb8C,adrenoceptor
3Ofaadi0FN,adrenoceptor
3m9SIIBYvH,adrenoceptor
dEDLufWa8W,adrenoceptor
UJBM6iQJz8,adrenoceptor
XRyd0bivu3,adrenoceptor
fbIAU9drrd,adrenoceptor
YJymkYU8DQ,adrenoceptor
X2VTeYUW2d,adrenoceptor
7cpE3x0y8e,adrenoceptor
EKzwXkOHFm,adrenoceptor
llA2VpE5by,adrenoceptor
wTh2HLd8Zg,adrenoceptor
DbDc7RVGIV,adrenoceptor
B4Jpn9DyE0,adrenoceptor
6IBTnRn5S3,adrenoceptor
b58DqwwF84,adrenoceptor
9PJ5SWcHM6,adrenoceptor
dhCLOfk6Kk,adrenoceptor
yLsMdLeLL4,adrenoceptor
jKZpHksUiS,adrenoceptor
X55afIP7v5,adrenoceptor
stpR26vQ4H,adrenoceptor
Q25yv5P5QL,adrenoceptor
TVQq9S7wc2,adrenoceptor
sYaXk8dCvv,AMPA
62YjDGiM67,AMPA
ZkzV3cY8ke,AMPA
EQCfm05f0P,AMPA
jjKlh3nY5Y,AMPA
cJ5iidusRp,AMPA
SlxW8dw4Wn,AMPA
4TY2wMdpQs,AMPA
ydVmWurtKo,AMPA
1qsLXCPlOP,AMPA
GCDkZcW2Ue,AMPA
yeojoUQHzF,AMPA
5uqPueCU9x,AMPA
wS4ri1Fa2e,AMPA
hmjnP3fuFp,AMPA
cdF503FkVR,AMPA
orrhG4F56A,AMPA
Ix9mBnrVhK,AMPA
mpj1V50CYG,AMPA
1L6mDJynyJ,AMPA
SWNLtu4oDq,AMPA
AUG8dr1G78,AMPA
WX59pPkHd2,AMPA
sDY64FMhcQ,AMPA
ltARkAd7ac,AMPA
hG2I7JkgE5,AMPA
LnSRa8zJ36,AMPA
Pyeim0LPIE,AMPA
7Jjt6kOpx7,AMPA
4NdQDxKtrh,AMPA
Pnb7ZAh9ls,AMPA
GXaJ6Hh8NW,AMPA
Ades88ZkMS,AMPA
t2OFnD9PBL,AMPA
zeqEqfSeHN,AMPA
sq9YbfZSdD,AMPA
qcyrn1kwl9,AMPA
iQVWgmCmgl,AMPA
p4GRVoYvQI,AMPA
STlDoLJK0X,AMPA
gAL8dG34ns,AMPA
NPYIGniMig,Tubulin
sa9x36n3Cl,Tubulin
eK0T3xPFTf,Tubulin
scFqDSDZzq,Tubulin
bGIXTDcjZ3,Tubulin
jIF89iYJxH,Tubulin
47N86cTbiJ,Tubulin
zsjGKw1Xpe,Tubulin
27fvnxchDn,Tubulin
8aDunYaDVD,Tubulin
nuKhwf9BYY,Tubulin
99rr8e2NAa,Tubulin
IjMEbJ5AgI,Tubulin
GeFcMBYJsa,Tubulin
MXqiQsKNIH,Tubulin
aVUDGLDg3Z,Tubulin
2FHpkbQRKy,Tubulin
dRZ0VebTa6,Tubulin
BKxDS83tDf,Tubulin
BlSGTdtbF7,Tubulin
hlrfyABXLn,Tubulin
h3hQPKes4T,Tubulin
1xMeyREmIl,Tubulin
JYwJjEY1WG,Tubulin
8IDcUiGxfM,Tubulin
8MsiPO7sgp,Tubulin
cMtrUwUgDD,Tubulin
3WLvgsY1Tk,Tubulin
QvHP4P8cUk,Tubulin
dXB6dVsIzK,Tubulin
FWcqOSU3vA,Tubulin
nCAeksl0DG,Tubulin
agnTQVrqpd,Tubulin
6ZNg4VUWUX,Tubulin
lOSnbVLKE9,Tubulin
5CjIwMWx3b,Tubulin
7bQIeA2VCa,Tubulin
QlScRbhzXq,Tubulin
mBgRqdHPtB,Tubulin
WXCQzPKFyi,Tubulin
1oZ3VVcqEx,Tubulin
HCn0eJH2BL,Tubulin
vxUhfmhUk5,Tubulin
GHyRq8Whww,Tubulin
meh4d3xGJe,Tubulin
uam0DPgGUy,Tubulin
ij3dGew9u8,Tubulin
s0FpR4FPhK,Tubulin
KSP4exAi3X,Tubulin
8Yylj2BCZy,Tubulin
fdBGNxzPHz,Tubulin
nkwrToRlou,Tubulin
SVgwIWpKcr,Tubulin
y24uP5JoMj,Tubulin
unJl4zbhmR,Tubulin
yPMlMh1gf4,Tubulin
npkjllFvbM,Tubulin
w8B5drWRFv,Tubulin
lG3B0eXfSQ,Tubulin
6S3rsF6uVz,Tubulin
fKSJSWXZlh,Tubulin
aXwVRoCnwY,Tubulin
cFS6kk80nA,Tubulin
wKRX9z5Rp0,Tubulin
ZoLsglnAEW,Tubulin
q8VYQZSB7D,Tubulin
rtnZWw0RW0,Tubulin
WQtYYEGcCr,Tubulin
B6FJWYMOyg,Tubulin
QXXmpUe7KT,Tubulin
r40INE3AcU,Tubulin
QPDg3Mk0lg,Tubulin
RAgRCJvjg0,Tubulin
roobyfbbkV,Tubulin
